city,date,temp,humidity,rainfall,wind_speed,uv_index,sunrise,sunset,moonrise,moonset,moon_phase,illumination
Hanoi,2024-01-01,22.5,-0.3847427704005469,-0.4547263910158049,0.47389004025545545,-0.38637202660933245,6.55,17.433333333333334,22.05,10.266666666666667,1,0.8839768973188051
Ho Chi Minh City,2024-01-01,28.3,-0.8705854746638947,-0.461724496681826,0.2611451067536115,0.3440173643863852,6.183333333333334,17.7,22.116666666666667,10.05,1,0.8839768973188051
Da Nang,2024-01-01,21.4,1.2347329104772793,-0.35500338527500397,-1.0609126942935632,-1.11676141760505,6.45,17.533333333333335,22.083333333333332,10.2,1,0.8839768973188051
Hai Phong,2024-01-01,21.9,-0.3847427704005469,-0.461724496681826,0.7474192404721124,-0.38637202660933245,6.5,17.383333333333333,22.0,10.2,1,0.8839768973188051
Can Tho,2024-01-01,27.2,-0.22279520231276428,-0.4599749702653208,-0.012384093463045387,0.3440173643863852,6.216666666666667,17.783333333333335,22.183333333333334,10.1,1,0.8839768973188051
Dien BienQuang Ninh,2024-01-01,24.3,0.5059688540822574,-0.4582254438488155,1.0817327074035816,-0.38637202660933245,6.066666666666666,17.483333333333334,21.933333333333334,9.9,1,0.8839768973188051
Binh Duong,2024-01-01,22.9,0.910837774301714,-0.15818166341815995,-0.012384093463045387,-1.11676141760505,6.216666666666667,17.433333333333334,21.95,10.016666666666667,1,0.8839768973188051
Ha Giang,2024-01-01,12.6,0.6679164221700401,-0.4276087315599731,0.36751757350453346,-1.8471508086007677,6.666666666666667,17.433333333333334,22.083333333333332,10.35,1,0.8839768973188051
Cao Bang,2024-01-01,18.1,0.8298639902578226,-0.23953464178565548,-0.8937559608278285,-1.11676141760505,6.583333333333333,17.366666666666667,22.0,10.266666666666667,1,0.8839768973188051
Lai Chau,2024-01-01,20.2,0.2630475019505835,-0.3401324107347091,-1.820716028228721,-0.38637202660933245,6.766666666666667,17.583333333333332,22.216666666666665,10.466666666666667,1,0.8839768973188051
Lao Cai,2024-01-01,15.5,0.5059688540822574,-0.4109882306031729,-1.2128733610805946,-1.11676141760505,6.733333333333333,17.516666666666666,22.166666666666668,10.416666666666666,1,0.8839768973188051
Tuyen Quang,2024-01-01,22.1,-0.3037689863566556,-0.45735068064056283,-0.07316836017785806,-0.38637202660933245,6.616666666666667,17.45,22.083333333333332,10.316666666666666,1,0.8839768973188051
Lang Son,2024-01-01,19.7,0.10109993386280093,-0.45297686459929964,-0.39228576043062424,-1.11676141760505,6.516666666666667,17.35,21.983333333333334,10.216666666666667,1,0.8839768973188051
Bac Kan,2024-01-01,19.0,0.8298639902578226,-0.3173885673201405,-1.759931761513908,-1.11676141760505,6.583333333333333,17.4,22.033333333333335,10.283333333333333,1,0.8839768973188051
Thai Nguyen,2024-01-01,21.6,-0.3037689863566556,-0.442479706100268,-0.5594424938963589,-0.38637202660933245,6.566666666666666,17.416666666666668,22.05,10.266666666666667,1,0.8839768973188051
Yen Bai,2024-01-01,22.1,-0.3037689863566556,-0.45735068064056283,-0.07316836017785806,-0.38637202660933245,6.65,17.483333333333334,22.116666666666667,10.333333333333334,1,0.8839768973188051
Son La,2024-01-01,17.6,-0.7896116906200035,-0.461724496681826,-1.2128733610805946,-0.38637202660933245,6.7,17.566666666666666,22.183333333333334,10.4,1,0.8839768973188051
Phu Tho,2024-01-01,28.3,-0.8705854746638947,-0.461724496681826,0.2611451067536115,0.3440173643863852,6.183333333333334,17.7,22.116666666666667,10.05,1,0.8839768973188051
Bac Giang,2024-01-01,22.2,-0.6276641225322208,-0.45735068064056283,0.6410467737211903,-0.38637202660933245,6.533333333333333,17.416666666666668,22.033333333333335,10.25,1,0.8839768973188051
Quang Ninh,2024-01-01,24.3,0.5059688540822574,-0.4582254438488155,1.0817327074035816,-0.38637202660933245,6.066666666666666,17.483333333333334,21.933333333333334,9.916666666666666,1,0.8839768973188051
Bac Ninh,2024-01-01,22.2,-0.6276641225322208,-0.45735068064056283,0.6410467737211903,-0.38637202660933245,6.55,17.416666666666668,22.033333333333335,10.25,1,0.8839768973188051
Ha Nam,2024-01-01,22.3,0.2630475019505835,-0.4468535221415312,-0.11875656021396735,-0.38637202660933245,6.5,17.5,22.083333333333332,10.233333333333333,1,0.8839768973188051
Hung Yen,2024-01-01,21.9,-0.3847427704005469,-0.461724496681826,0.7474192404721124,-0.38637202660933245,6.483333333333333,17.383333333333333,21.983333333333334,10.2,1,0.8839768973188051
Thai Binh,2024-01-01,22.1,0.020126149818909627,-0.4608497334735734,0.8082035071869248,0.3440173643863852,6.5,17.433333333333334,22.033333333333335,10.216666666666667,1,0.8839768973188051
Nam Dinh,2024-01-01,22.4,-0.14182141826887298,-0.4582254438488155,0.5346743069702684,-0.38637202660933245,6.516666666666667,17.433333333333334,22.033333333333335,10.233333333333333,1,0.8839768973188051
Ninh Binh,2024-01-01,22.4,-0.14182141826887298,-0.4582254438488155,0.5346743069702684,-0.38637202660933245,6.516666666666667,17.45,22.05,10.25,1,0.8839768973188051
Thanh Hoa,2024-01-01,22.3,0.2630475019505835,-0.4468535221415312,-0.11875656021396735,-0.38637202660933245,6.516666666666667,17.483333333333334,22.083333333333332,10.25,1,0.8839768973188051
Nghe An,2024-01-01,15.5,0.5059688540822574,-0.4109882306031729,-1.2128733610805946,-1.11676141760505,6.7,17.5,22.133333333333333,10.383333333333333,1,0.8839768973188051
